Country,Value
Grupo Posdesmovi,2
Pensionado,21
Empresario,23
Trabajador Sexual,38
Religioso,41
Ama de Casa,79
Personal de Salud,94
Guerrillero,105
Delincuente,128
No Aplica,143
Ganadero,186
Profesional,234
Seguridad Privada,235
Funcionario Publico,249
Raspachin,273
Administrador de Finca,275
Minero,303
Pescador,377
Paramilitar,454
Fuerza Publica,670
Estudiante,791
Desempleado,805
Obrero,973
Otra cual,1136
Conductor,1290
Empleado,1493
Economia Informal,1638
Comerciante,2064
Trabajo Sin Especificar,2303
Trabajador de Finca,4739
Campesino,4941
